Produce,Argentina,276
Confections,Argentina,120
Beverages,Austria,20290
Dairy Products,Austria,8524
Condiments,Austria,7590
Meat/Poultry,Austria,4051
Grains/Cereals,Austria,3335
Confections,Austria,2837
Seafood,Austria,2797
Produce,Austria,2263
Confections,Belgium,3240
Meat/Poultry,Belgium,1560
Dairy Products,Belgium,1435
Produce,Belgium,1288
Beverages,Belgium,552
Beverages,Brazil,13719
Confections,Brazil,6275
Produce,Brazil,6220
Dairy Products,Brazil,5542
Meat/Poultry,Brazil,4790
Condiments,Brazil,2731
Seafood,Brazil,995
Beverages,Canada,14466
Meat/Poultry,Canada,5040
Seafood,Canada,4166
Confections,Canada,3474
Dairy Products,Canada,2638
Condiments,Canada,980
Grains/Cereals,Canada,338
Produce,Canada,300
Beverages,Denmark,14334
Confections,Denmark,1248
Dairy Products,Denmark,1179
Condiments,Denmark,1043
Meat/Poultry,Denmark,126
Seafood,Denmark,24
Dairy Products,Finland,2423
Beverages,Finland,1150
Meat/Poultry,Finland,825
Produce,Finland,690
Seafood,Finland,570
Grains/Cereals,Finland,540
Confections,Finland,280
Beverages,France,7286
Meat/Poultry,France,6261
Confections,France,5445
Grains/Cereals,France,3228
Produce,France,2440
Dairy Products,France,2285
Seafood,France,2194
Condiments,France,420
Dairy Products,Germany,14635
Beverages,Germany,8500
Seafood,Germany,5900
Confections,Germany,5465
Condiments,Germany,3893
Grains/Cereals,Germany,3781
Meat/Poultry,Germany,3681
Produce,Germany,1461
Dairy Products,Ireland,3537
Condiments,Ireland,2730
Produce,Ireland,2544
Seafood,Ireland,2268
Beverages,Ireland,2263
Confections,Ireland,1375
Meat/Poultry,Ireland,660
Grains/Cereals,Ireland,28
Confections,Italy,1891
Grains/Cereals,Italy,560
Produce,Italy,552
Condiments,Italy,510
Dairy Products,Italy,456
Seafood,Italy,240
Meat/Poultry,Italy,70
Beverages,Italy,60
Seafood,Mexico,1307
Dairy Products,Mexico,1134
Beverages,Mexico,929
Meat/Poultry,Mexico,808
Confections,Mexico,700
Produce,Mexico,644
Condiments,Mexico,220
Grains/Cereals,Mexico,140
Dairy Products,Norway,990
Produce,Norway,276
Beverages,Norway,75
Dairy Products,Poland,390
Seafood,Poland,195
Condiments,Portugal,1236
Grains/Cereals,Portugal,1064
Produce,Portugal,954
Dairy Products,Portugal,495
Confections,Portugal,230
Meat/Poultry,Portugal,140
Beverages,Portugal,50
Condiments,Spain,1328
Seafood,Spain,1136
Grains/Cereals,Spain,781
Beverages,Spain,502
Meat/Poultry,Spain,365
Confections,Spain,204
Dairy Products,Sweden,2643
Confections,Sweden,2268
Seafood,Sweden,1925
Beverages,Sweden,1764
Condiments,Sweden,656
Meat/Poultry,Sweden,480
Dairy Products,Switzerland,4410
Grains/Cereals,Switzerland,990
Beverages,Switzerland,725
Confections,Switzerland,595
Meat/Poultry,Switzerland,504
Seafood,Switzerland,475
Produce,Switzerland,410
Dairy Products,UK,5170
Meat/Poultry,UK,3924
Beverages,UK,2239
Grains/Cereals,UK,1949
Confections,UK,1792
Produce,UK,920
Seafood,UK,470
Condiments,UK,300
Meat/Poultry,USA,14801
Confections,USA,13472
Beverages,USA,10687
Condiments,USA,10372
Dairy Products,USA,8982
Grains/Cereals,USA,5636
Seafood,USA,3711
Produce,USA,2061
Confections,Venezuela,3818
Dairy Products,Venezuela,3662
Meat/Poultry,Venezuela,3550
Seafood,Venezuela,1266
Condiments,Venezuela,1015
Produce,Venezuela,140
Beverages,Venezuela,108
