Aux joyeux ecclésiastiques,67884,Beverages,100.000000
Plutzer Lebensmittelgroßmärkte AG,37593,Meat/Poultry,55.410000
"Pavlova, Ltd.",36989,Meat/Poultry,34.900000
Gai pâturage,33650,Dairy Products,100.000000
Forêts d'érables,18999,Confections,83.820000
"G'day, Mate",17258,Produce,50.060000
Formaggi Fortini s.r.l.,17068,Dairy Products,100.000000
Norske Meierier,14964,Dairy Products,100.000000
"Specialty Biscuits, Ltd.",14272,Confections,100.000000
Pasta Buttini s.r.l.,13582,Grains/Cereals,100.000000
Heli Süßwaren GmbH & Co. KG,12146,Confections,100.000000
Leka Trading,10716,Beverages,58.380000
New Orleans Cajun Delights,10268,Condiments,100.000000
Exotic Liquid,10141,Beverages,92.110000
Karkki Oy,8284,Confections,56.980000
Bigfoot Breweries,8252,Beverages,100.000000
Ma Maison,7672,Meat/Poultry,100.000000
Grandma Kelly's Homestead,7250,Condiments,89.660000
Tokyo Traders,6435,Seafood,40.950000
New England Seafood Cannery,5998,Seafood,100.000000
Svensk Sjöföda AB,5451,Seafood,100.000000
Cooperativa de Quesos 'Las Cabras',4848,Dairy Products,100.000000
Mayumi's,4448,Produce,78.600000
Nord-Ost-Fisch Handelsgesellschaft mbH,4420,Seafood,100.000000
Escargots Nouveaux,2015,Seafood,100.000000
Zaanse Snoepfabriek,1920,Confections,100.000000
Lyngbysild,1890,Seafood,100.000000
PB Knäckebröd AB,1863,Grains/Cereals,100.000000
Refrescos Americanas LTDA,790,Beverages,100.000000
