10372,15382,Côte de Blaye,40,264,10560
10372,15382,Camembert Pierrot,70,34,2380
10372,15382,Mozzarella di Giovanni,42,35,1470
10372,15382,Sir Rodney's Marmalade,12,81,972
10424,14406,Côte de Blaye,49,264,12936
10424,14406,Steeleye Stout,60,18,1080
10424,14406,Scottish Longbreads,30,13,390
10417,14147,Côte de Blaye,50,264,13200
10417,14147,Scottish Longbreads,36,13,468
10417,14147,Original Frankfurter grüne Soße,35,13,455
10417,14147,Spegesild,2,12,24
10353,13452,Côte de Blaye,50,264,13200
10353,13452,Queso Cabrales,12,21,252
10360,9256,Thüringer Rostbratwurst,35,124,4340
10360,9256,Côte de Blaye,10,264,2640
10360,9256,Rössle Sauerkraut,30,46,1380
10360,9256,Maxilaku,35,20,700
10360,9256,Tourtière,28,7,196
10324,7697,Vegie-spread,80,44,3520
10324,7697,Raclette Courdavault,40,55,2200
10324,7697,Steeleye Stout,70,18,1260
10324,7697,Spegesild,30,12,360
10324,7697,Pavlova,21,17,357
10440,7274,Thüringer Rostbratwurst,24,124,2976
10440,7274,Sirop d'érable,90,29,2610
10440,7274,Chang,45,19,855
10440,7274,Pavlova,49,17,833
10430,7245,Raclette Courdavault,70,55,3850
10430,7245,Alice Mutton,45,39,1755
10430,7245,Gnocchi di nonna Alice,30,38,1140
10430,7245,Sir Rodney's Scones,50,10,500
10351,7083,Côte de Blaye,20,264,5280
10351,7083,Gula Malacca,77,19,1463
10351,7083,Louisiana Fiery Hot Pepper Sauce,10,21,210
10351,7083,Jack's New England Clam Chowder,13,10,130
10329,6034,Côte de Blaye,20,264,5280
10329,6034,Gnocchi di nonna Alice,12,38,456
10329,6034,Nord-Ost Matjeshering,8,26,208
10329,6034,Teatime Chocolate Biscuits,10,9,90
